"Aeschi b. Spiez, Mustermattli",620.039,167.039,887
"Aeschi b. Spiez, Niederdorf",619.520,167.755,848
"Aeschi b. Spiez, Post",619.715,167.538,861
"Aeschi b. Spiez, Wachthubel",620.856,166.629,938
"Aeschi SO, Dorf",617.124,225.530,500
"Aeschi SO, Kirche",616.819,225.596,500
"Aeschi SO, Ost",617.779,225.638,477
"Aeschiried, untere Allmi",622.695,165.130,1032
"Aeschiried, Chemihütte",621.554,166.378,984
"Aeschiried, Ebenen",621.186,166.549,954
"Aeschiried, Fuchsgraben",623.595,164.345,1014
"Aeschiried, Kapelle",621.635,166.228,1000
"Aeschiried, Schulhaus",621.854,166.013,1014
"Aeschiried, Staldeweid",622.970,164.820,1035
"Aeschiried, Suld Pochtenfall",624.955,163.485,1080
"Aeschlen b. O., Abzw. Bleiken",614.660,187.013,713
"Aeschlen b. O., Bareichte",617.410,187.432,899
"Aeschlen b. O., Dorf",615.507,187.331,762
"Aeschlen b. O., Julisgraben",616.233,187.477,818
"Aeschlen ob Gunten, Dorf",619.850,174.323,770
"Aeschlen ob Gunten, Erliboden",620.390,174.423,820
"Aeschlen ob Gunten, Mattikehr",619.769,174.090,742
Aespli,606.453,208.598,517
"Aetigkofen, Dorf",602.099,219.412,609
"Aetingen, Fröscheren",604.349,219.163,470
"Aetingen, Post",605.029,220.104,479
"Aetingen, Schulhaus",604.819,219.838,483
"Aettenschwil, Oberdorf",670.690,226.200,491
"Aettenschwil, Post",670.730,226.350,490
"Aeugst am Albis, Dorf",679.210,235.742,700
"Aeugst am Albis, Grossacher",679.656,235.556,689
"Aeugst am Albis, Höchweg",678.850,236.075,700
"Aeugst am Albis, Müliberg",678.675,237.225,700
"Aeugst am Albis, Wängi",678.478,234.925,700
"Aeugstertal, Kloster",679.300,237.575,672
"Aeugstertal, Landhus",680.350,237.100,672
Aeusseres Emdthal,618.422,167.632,703
"Affeltrangen, Märwilerstrasse",719.843,265.241,489
"Affoltern a. A., Bahnhof",676.267,236.591,494
"Affoltern a. A., Bezirksspital",677.075,237.200,494
"Affoltern a. A., Blitzgbach",676.745,237.677,497
"Affoltern a. A., Friedhof",676.249,237.353,485
"Affoltern a. A., Kronenplatz",676.850,237.200,494
"Affoltern a. A., Lilienberg",677.750,236.950,494
"Affoltern a. A., Sternen",676.900,236.700,494
"Affoltern a. A., Stigeli",677.209,236.898,494
"Affoltern a. A., Weinberg",677.374,237.044,494
Affoltern am Albis,676.265,236.619,494
"Affoltern i.E., Bannholz",621.739,212.809,805
"Affoltern i.E., Dorf",622.242,212.676,803
Affoltern-Weier,623.651,212.389,735
"Affoltern-Weier, Bahnhof",623.631,212.417,735
"Agarn, Abzw. St. Josefheim",616.531,128.379,627
"Agarn, Dorf",617.328,127.364,627
"Agarone, i Lög",713.873,115.336,375
"Agarone, Bivio per Cugnasco",713.615,115.240,333
"Agarone, Chiossette",713.040,115.168,368
"Agarone, Colletto",713.749,115.429,410
"Agarone, Paese",713.311,115.165,365
"Agarone, Piandesso",712.788,115.168,350
"Agarone, Roccolo",713.632,115.400,402
"Agarone, Ronco Morasci",713.809,115.287,349
Agasul,698.514,253.527,603
"Agiez, L'Epine",528.830,174.275,520
"Agiez, Vers-le-Pont",529.107,174.644,507
Agno,713.290,094.875,274
"Agno, Aeroporto",713.768,095.425,275
"Agno, Chiesa",713.017,095.121,297
"Agno, Posta/FLP",713.314,094.921,275
"Agra, Bivio",714.432,091.986,541
"Agra, Paese",714.243,091.721,556
"Agra, Roncone",714.078,091.265,508
"Agra, Rondelli",714.380,091.754,535
Agriswil,581.359,200.262,502
Aigle,563.416,129.605,404
Aigle-Dépôt,564.318,129.760,430
Aigle-Dépôt ASD,564.716,129.543,440
Aigle-Hôpital,563.595,128.895,403
Aigle-Parc Aventure,565.152,129.423,488
Aigle-Place-du-Marché,563.930,129.646,417
Aigle-Place-du-Marché (DIAB),563.890,129.585,417
"Aigle, av. Margencel",563.515,129.751,406
"Aigle, ch. des Lieugex",563.160,130.000,400
"Aigle, gare",563.487,129.528,406
"Aigle, hôpital",563.407,129.066,401
"Aigle, place du Marché",563.920,129.661,417
"Aigle, rte d'Evian",563.103,129.784,399
"Aigle, Champex",561.857,129.051,383
"Aigle, Collège Grande Eau",563.975,129.800,415
"Aigle, Collège Planchette",562.877,129.904,396
"Aigle, Dents-du-Midi",563.046,129.261,396
"Aigle, Golf",562.291,129.451,388
"Aigle, La Mêlée",561.406,129.860,385
"Aigle, Novassales",563.342,129.352,403
"Aigle, Pautex",562.697,129.618,393
"Aigle, Pré d'Emoz A",562.996,130.185,397
"Aigle, Pré d'Emoz B",562.710,130.112,394
"Aigle, Service Auto",561.654,129.403,386
Aire-la-Ville,492.306,116.347,430
"Aire-la-Ville, Moulin-Ratte",492.489,116.137,384
"Aire-la-Ville, Pont-de-Peney",492.302,116.662,373
"Aire-la-Ville, Treulaz",492.431,115.892,395
Airolo,689.764,153.583,1142
Airolo FAB,689.284,153.183,1132
"Airolo, Biv. per Madrano",691.377,153.261,1102
"Airolo, Bivio per Nante",689.495,153.244,1163
"Airolo, Buco dei Cavalli",690.104,153.698,1163
"Airolo, Centro Sportivo",690.584,153.124,1270
"Airolo, Cioss di fuori",688.285,153.147,1211
"Airolo, Funivia",689.190,153.275,1166
"Airolo, Galleria Banchi",686.673,154.513,1968
"Airolo, Pian Secco Belvédère",687.144,154.423,1926
"Airolo, Posta",689.880,153.625,1130
"Airolo, Stazione",689.733,153.599,1143
Al Motto (c bin),716.215,111.509,397
Al Motto Est,716.709,111.402,383
Al Sasso,717.374,111.706,362
Alabardia,706.363,110.533,202
Albbruck,652.100,271.515,320
"Alberswil, Burgrain",642.925,221.350,524
"Alberswil, Dorf",642.730,222.298,520
"Alberswil, Unterdorf",642.651,222.911,516
Albeuve,570.592,151.920,767
Albigna,769.894,134.223,2100
"Albinen, Dorben",614.357,133.499,1361
"Albinen, Panorama",615.423,131.502,1312
"Albinen, Post",615.106,132.112,1274
"Albinen, Rhodania",615.211,131.767,1290
"Albinen, Schreinerei",614.967,132.343,1295
"Albinen, Schwelli",614.940,132.475,1300
Albinenleitern LLAT,614.182,134.421,1554
"Albinenleitern, Abzw. Flaschen",614.040,133.870,1492
"Albinenleitern, Flaschen",614.184,134.399,1554
"Albligen, Abzw. Harris",591.174,188.337,652
"Albligen, Dorf",590.833,188.972,701
"Albligen, Kurried",590.664,189.592,704
"Albligen, Ruchmühle",592.198,188.372,615
Albonago,719.011,096.385,480
"Albonago, ai Ronchi",718.851,097.079,378
"Albonago, al Bosco",718.915,097.027,408
"Albonago, Funicolare",718.982,096.389,460
"Albonago, Gradinata",718.791,096.426,380
"Albonago, Paese",718.972,096.695,464
"Albonago, Roccolo",719.014,096.256,544
"Albonago, Sentiero Castagni",718.970,096.883,440
"Albonago, Sentiero Cavan",718.769,096.867,360
"Albonago, Via Max Frisch",718.729,096.909,371
"Albonago, Via Ruscello",718.723,096.655,360
"Alchenflüh, Bernstrasse Ost",610.298,214.012,509
"Alchenstorf, Dorf",615.112,219.382,504
"Alchenstorf, Oberalchenstorf",615.590,219.253,506
"Alchenstorf, Unteralchenstorf",614.276,219.475,494
"Alchenstorf, Wil",616.062,218.082,522
Aldesago,719.421,096.665,570
"Aldesago, Arcate",719.420,096.528,646
"Aldesago, Narbostra",719.197,096.400,576
"Aldesago, Paese",719.354,096.254,607
"Aldesago, Pontaccio",719.129,096.406,553
"Aldesago, Ronchée",719.391,096.550,666
"Aldesago, Via Rava",719.384,096.461,670
Alesse,000.000,000.000,0
Algetshausen-Henau,726.041,256.648,555
"Algetshausen, Dorf",725.819,256.554,563
All'Acqua,679.511,148.819,1612
Allaman,520.212,147.687,422
"Allaman, gare",520.209,147.702,422
Alle,576.587,252.639,450
Alle centre agricult d'Ajoie,577.650,253.200,455
"Alle, centre sportif / loisirs",576.063,252.721,449
"Alle, poste/gare",576.611,252.680,449
